;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Simulation results - disaggregated. Individual dwelling simulations are listed below in sequential order (dwelling 1 first, then dwelling 2 etc.) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dwelling index;Date;Time;Occupancy;Activity;Lighting demand;Appliance demand;Casual thermal gains from occupants, lighting and appliances;Outdoor temperature;Outdoor global radiation (horizontal);Passive solar gains;Primary heating system thermal output;External building node temperature;Internal building node temperature;Hot water demand (litres);Hot water temperature in hot water tank;Space heating timer settings;Hot water heating timer settings;Heating system switched on;Hot water heating required;Emitter temperature;Radiation incident on PV array;PV output;Net dwelling electricity demand;Heat output from primary heating system to space;Heat output from primary heating system to hot water;Fuel flow rate (gas);Solar power incident on collector;Solar thermal collector control state;Solar thermal collector temperature;Heat gains to cylinder from solar thermal collector;Dwelling self-consumption;Space cooling timer settings;Cooling system switched on;Cooling output from cooling system to space;Cooler Emitter temperature;Heating Thermostat Set Point;Cooling Thermostat Set Point;Electricity used by cooling system;Electricity used by heating system
;;;;;Plight;Pa;θc;θo;Go;φs;φh;θb;θi;;θcyl;;;;;θem;Gi;Ppv;Pnet;φh, space;φh, water;mfuel;;;θcollector;φcollector;Pself;;;φh, space;θem;θem;θem;;
;;;;;W;W;W;°C;Wm-2;W;W;°C;°C;ltr.min-1;°C;;;;;°C;Wm-2;W;W;W;W;m3/h;W;;°C;W;kWh;;;W;°C;°C;°C;W;W
1;02/08/2015;12.57.00 AM;1;0;0;273;341,9;11,26963004;0;0;0;16,62579462;18,09854255;0;61,42935033;0;1;0;0;18,4334533;0;0;273;0;0;0;0;0;11,89152466;0;0;0;0;0;18,09674155;19;24;0;0
1;02/08/2015;12.58.00 AM;1;0;0;273;341,9;11,2541469;0;0;0;16,62222205;18,10000616;0;61,42192219;0;1;0;0;18,42206178;0;0;273;0;0;0;0;0;11,88468057;0;0;0;0;0;18,09854255;19;24;0;0
1;02/08/2015;12.59.00 AM;1;0;0;273;341,9;11,23891376;0;0;0;16,61864396;18,1011521;0;61,41449558;0;1;0;0;18,41110751;0;0;273;0;0;0;0;0;11,87774093;0;0;0;0;0;18,10000616;19;24;0;0
1;02/08/2015;1.00.00 AM;1;0;0;273;341,9;11,22368062;0;0;0;16,61505998;18,10199861;0;61,40707043;0;1;0;0;18,40056481;0;0;273;0;0;0;0;0;11,87070953;0;0;0;0;0;18,1011521;19;24;0;0
1;02/08/2015;1.01.00 AM;1;0;0;273;341,9;11,20819748;0;0;0;16,6114695;18,10256253;0;61,39964671;0;1;0;0;18,39040949;0;0;273;0;0;0;0;0;11,8635874;0;0;0;0;0;18,10199861;19;24;0;0
1;02/08/2015;1.02.00 AM;1;0;0;273;341,9;11,19271434;0;0;0;16,60787219;18,10286002;0;61,39222435;0;1;0;0;18,38061878;0;0;273;0;0;0;0;0;11,85637275;0;0;0;0;0;18,10256253;19;24;0;0
1;02/08/2015;1.03.00 AM;1;0;0;273;341,9;11,1772312;0;0;0;16,60426775;18,10290629;0;61,38480331;0;1;0;0;18,3711712;0;0;273;0;0;0;0;0;11,8490666;0;0;0;0;0;18,10286002;19;24;0;0
1;02/08/2015;1.04.00 AM;1;0;0;273;341,9;11,15974806;0;0;0;16,60065389;18,102713;0;61,37738356;0;1;0;0;18,36204655;0;0;273;0;0;0;0;0;11,84166994;0;0;0;0;0;18,10290629;19;24;0;0
1;02/08/2015;1.05.00 AM;1;0;0;64;132,9;11,14251491;0;0;0;16,5970306;18,07545154;0;61,36996505;0;1;0;0;18,35322568;0;0;64;0;0;0;0;0;11,83416163;0;0;0;0;0;18,102713;19;24;0;0
1;02/08/2015;1.06.00 AM;1;0;0;64;132,9;11,12478177;0;0;0;16,59336455;18,04955338;0;61,36254313;0;1;0;0;18,34377758;0;0;64;0;0;0;0;0;11,82654564;0;0;0;0;0;18,07545154;19;24;0;0
